Kanton;Jahr;Total_KFZ
SO;2008;135941
SO;2009;136240
SO;2010;139864
SO;2011;142534
SO;2012;145972
SO;2013;148322
SO;2014;150356
SO;2015;152385
SO;2016;155081
SO;2017;156191
SO;2018;157261
SO;2019;158801
SO;2020;160717
SO;2021;162387
SO;2022;163027
SZ;2005;77768
SZ;2006;76528
SZ;2007;79809
SZ;2008;81805
SZ;2009;83108
SZ;2010;86245
SZ;2011;88593
SZ;2012;91168
SZ;2013;92766
SZ;2014;94458
SZ;2015;96378
SZ;2016;98477
SZ;2017;100054
SZ;2018;101436
SZ;2019;102839
SZ;2020;104485
SZ;2021;106251
SZ;2022;106895
TG;2005;126377
TG;2006;129898
TG;2007;131559
TG;2008;137042
TG;2009;145313
TG;2010;142616
TG;2011;147056
TG;2012;151919
TG;2013;155407
TG;2014;159528
TG;2015;163678
TG;2016;167035
TG;2017;170529
TG;2018;172815
TG;2019;174808
TG;2020;176961
TG;2021;179412
TG;2022;180170
TI;2005;193374
TI;2006;195473
TI;2007;198713
TI;2008;200122
TI;2009;202068
TI;2010;204462
TI;2011;208141
TI;2012;211697
TI;2013;215106
TI;2014;218839
TI;2015;222243
TI;2016;224565
TI;2017;225337
TI;2018;224666
TI;2019;223373
TI;2020;222391
TI;2021;222890
TI;2022;222583
UR;2005;16685
UR;2006;16138
UR;2007;16332
UR;2008;16331
UR;2009;17240
UR;2010;17699
UR;2011;18019
UR;2012;18444
UR;2013;18756
UR;2014;19018
UR;2015;19346
UR;2016;19563
UR;2017;19819
UR;2018;20016
UR;2019;20192
UR;2020;20337
UR;2021;20514
UR;2022;20499
VD;2005;353999
VD;2006;351776
VD;2007;355741
VD;2008;361110
VD;2009;357553
VD;2010;366762
VD;2011;375399
VD;2012;384687
VD;2013;391740
VD;2014;397551
VD;2015;403749
VD;2016;410283
VD;2017;414628
VD;2018;417188
VD;2019;416941
VD;2020;420332
VD;2021;423758
VD;2022;423136
VS;2005;166673
VS;2006;170647
VS;2007;174007
